TICKER,NOMBRE,RATIO,FRECUENCIA,INDUSTRIA
FMX,FOMENTO ECONOMICO MEX-SP ADR,6:1,Semestral,Consumo y Distribución
FNMA,FANNIE MAE,1:1,Irregular,Servicios Financieros
FSLR,FIRST SOLAR INC,3:1,Ninguna,Energía Renovable
GE,GENERAL ELECTRIC CO,8:1,Trimestral,Industrial
GFI,GOLD FIELDS LTD-SPONS ADR,1:1,Semestral,Minas
GGB,GERDAU SA -SPON ADR,1:4,Trimestral,Metales y Minería
GILD,GILEAD SCIENCES INC,4:1,Trimestral,Biotecnología
GLOB,GLOBANT SA,18:1,Ninguna,Tecnología
GLW,CORNING INC,4:1,Trimestral,Materiales
GM,GENERAL MOTORS CO,6:1,Irregular,Automotriz
GOLD,BARRICK GOLD CORP,1:1,Trimestral,Minas
GOOGL,ALPHABET INC-CL A,58:1,Ninguna,Tecnología
GPRK,GEOPARK LTD,1:1,Trimestral,Energía
GRMN,GARMIN LTD,3:1,Trimestral,Electrónica
GS,GOLDMAN SACHS GROUP INC,13:1,Trimestral,Servicios Financieros
GSK,GSK PLC,4:1,Trimestral,Productos Farmacéuticos
HAL,HALLIBURTON CO,2:1,Trimestral,Energía
HD,HOME DEPOT INC,32:1,Trimestral,Comercio Minorista
HDB,HDFC BANK LTD-ADR,2:1,Anual,Servicios Financieros
HHPD LI,HON HAI PRECISION-GDR REG S,2:1,Anual,Electrónica
HL,HECLA MINING CO,1:1,Trimestral,Minas
HMC,HONDA MOTOR CO LTD-SPONS ADR,1:1,Trimestral,Automotriz
HMY,HARMONY GOLD MNG-SPON ADR,1:1,Irregular,Minas
HNPIY,HUANENG POWER INTL-SPONS ADR,1:1,Anual,Energía
HOG,HARLEY-DAVIDSON INC,3:1,Trimestral,Automotriz
HON,HONEYWELL INTERNATIONAL INC,8:1,Trimestral,Industria
HPQ,HP INC,1:1,Trimestral,Electrónica
HSBC,HSBC HOLDINGS PLC-SPONS ADR,2:1,Trimestral,Servicios Financieros
HSY,HERSHEY CO/THE,21:1,Trimestral,Bienes de Consumo
HWM,HOWMET AEROSPACE INC,1:1,Irregular,Aeroespacial
IBM,INTL BUSINESS MACHINES CORP,5:1,Trimestral,Tecnología
IBN,ICICI BANK LTD-SPON ADR,1:1,Anual,Servicios Financieros
IFF,INTL FLAVORS & FRAGRANCES,12:1,Trimestral,Bienes de Consumo
INFY,INFOSYS LTD-SP ADR,1:1,Semestral,Tecnología
ING,ING GROEP N.V.-SPONSORED ADR,3:1,Semestral,Servicios Financieros
INTC,INTEL CORP,5:1,Trimestral,Semiconductores
IP,INTERNATIONAL PAPER CO,4:1,Trimestral,Industria
ITUB,ITAU UNIBANCO H-SPON PRF ADR,1:1,Mensual,Servicios Financieros
JCI,JOHNSON CONTROLS INTERNATION,2:1,Trimestral,Industria
JD,JD.COM INC-ADR,2:1,Ninguna,Comercio Electrónico
JNJ,JOHNSON & JOHNSON,15:1,Trimestral,Productos Farmacéuticos
JPM,JPMORGAN CHASE & CO,5:1,Trimestral,Servicios Financieros
KB,KB FINANCIAL GROUP INC-ADR,2:1,Anual,Servicios Financieros
KEP,KOREA ELEC POWER CORP-SP ADR,1:1,Anual,Energía
KGC,KINROSS GOLD CORP,1:1,Trimestral,Minas
KMB,KIMBERLY-CLARK CORP,6:1,Trimestral,Bienes de Consumo
KO,COCA-COLA CO/THE,5:1,Trimestral,Bebidas
KOFM,COCA-COLA FEMSA SAB-SP ADR,2:1,Semestral,Bebidas
LFCHY,CHINA LIFE INSURANCE CO-ADR,2:1,Anual,Seguros
LKOD,LUKOIL PJSC-SPON ADR,4:1,Semestral,Energía
LLY,ELI LILLY & CO,8:1,Trimestral,Productos Farmacéuticos
LMT,LOCKHEED MARTIN CORP,20:1,Trimestral,Aeroespacial
LRCX,LAM RESEARCH CORP,56:1,Trimestral,Semiconductores
LVS,LAS VEGAS SANDS CORP,2:1,Irregular,Entretenimiento
LYG,LLOYDS BANKING GROUP PLC-ADR,2:1,Trimestral,Servicios Financieros
MA,MASTERCARD INC - A,33:1,Trimestral,Servicios Financieros
MBG,MERCEDES-BENZ GROUP AG,4:1,Anual,Automotriz
MBT,MOBILE TELESYSTEMS-SP ADR,2:1,Semestral,Telecomunicaciones
MCD,MCDONALD'S CORP,24:1,Trimestral,Bienes de Consumo
MDT,MEDTRONIC PLC,4:1,Trimestral,Salud
MELI,MERCADOLIBRE INC,60:1,Irregular,Comercio Electrónico
META,META PLATFORMS INC.,24:1,Ninguna,Tecnología
MFG,MIZUHO FINANCIAL GROUP-ADR,1:1,Semestral,Servicios Financieros
MMC,MARSH & MCLENNAN COS,16:1,Trimestral,Servicios Financieros
MMM,3M CO,5:1,Trimestral,Industria
MO,ALTRIA GROUP INC,4:1,Trimestral,Consumo Básico
MRK,MERCK & CO. INC.,5:1,Trimestral,Productos Farmacéuticos
MSFT,MICROSOFT CORP,30:1,Trimestral,Tecnología
MSI,MOTOROLA SOLUTIONS INC,20:1,Trimestral,Electrónica
MUFG,MITSUBISHI UFJ FINL-SPON ADR,1:1,Semestral,Servicios Financieros
NEC1,NEC CORP,1:3,Semestral,Electrónica
NEM,NEWMONT CORP,3:1,Trimestral,Minas
NFLX,NETFLIX INC,16:1,Ninguna,Entretenimiento
NG,NOVAGOLD RESOURCES INC,1:4,Ninguna,Minas
NGG,NATIONAL GRID PLC-SP ADR,2:1,Semestral,Servicios Públicos
NIO,NIO INC.,4:1,Ninguna,Automotriz
NKE,NIKE INC -CL B,12:1,Trimestral,Consumo Discrecional
NLM,NOVOLIPETSK STEEL PJSC-GDR,2:1,Trimestral,Industria
NMR,NOMURA HOLDINGS INC-SPON ADR,1:1,Semestral,Servicios Financieros
NOKA,NOKIA CORP-SPON ADR,1:1,Trimestral,Electrónica
NSAN,NISSAN MOTOR CO LTD-SPON ADR,1:1,Semestral,Automotriz
NTCO,NATURA &CO HOLDING-ADR,1:1,Ninguna,Bienes de Consumo
NTES,NETEASE INC-ADR,14:1,Trimestral,Tecnología
NUE,NUCOR CORP,16:1,Trimestral,Industria
NVDA,NVIDIA CORP,24:1,Trimestral,Semiconductores
NVS,NOVARTIS AG-SPONSORED ADR,4:1,Anual,Productos Farmacéuticos
OGZD,GAZPROM PJSC-SPON ADR,2:1,Anual,Energía
ORAN,ORANGE-SPON ADR,1:1,Semestral,Telecomunicaciones
ORCL,ORACLE CORP,3:1,Trimestral,Tecnología
PAAS,PAN AMERICAN SILVER CORP,3:1,Trimestral,Minas
PAC,GRUPO AEROPORTUARIO PAC-ADR,16:1,Semestral,Servicios de Transporte
PBI,PITNEY BOWES INC,1:1,Trimestral,Servicios Tecnológicos
PBR,PETROLEO BRASILEIRO-SPON ADR,1:1,Trimestral,Energía
PCAR,PACCAR INC,3:1,Trimestral,Automotriz
PCRF,PANASONIC CORP-SPON ADR,2:1,Semestral,Electrónica
PEP,PEPSICO INC,6:1,Trimestral,Consumo Básico
PFE,PFIZER INC,2:1,Trimestral,Productos Farmacéuticos
PG,PROCTER & GAMBLE CO/THE,5:1,Trimestral,Consumo Básico
PHG,KONINKLIJKE PHILIPS NVR- NY,5:1,Anual,Salud
PKS,POSCO HONDINGS INC,3:1,Trimestral,Industria
PSO,PEARSON PLC-SPONSORED ADR,1:1,Semestral,Educación
PSX,PHILLIPS 66,6:1,Trimestral,Energía
PTRCY,PETROCHINA CO LTD -ADR,4:1,Semestral,Energía
PYPL,PAYPAL HOLDINGS INC,8:1,No informado,Servicios Financieros
QCOM,QUALCOMM INC,11:1,Trimestral,Semiconductores
RIO,RIO TINTO PLC-SPON ADR,4:1,Semestral,Minas
ROST,ROSS STORES INC,4:1,Irregular,Comercio Minorista
RTX,RAYTHEON TECHNOLOGIES CORP,5:1,Trimestral,Aeroespacial
SAN,BANCO SANTANDER SA-SPON ADR,1:4,Semestral,Servicios Financieros
SAP,SAP SE-SPONSORED ADR,6:1,Anual,Tecnología
SBS,CIA SANEAMENTO BASICO DE-ADR,1:2,Irregular,Servicios Públicos
SBUX,STARBUCKS CORP,4:1,Trimestral,Consumo Discrecional
SCCO,SOUTHERN COPPER CORP,2:1,Trimestral,Minas
SE,SEA LTD.,32:1,Ninguna,Servicios Financieros
SHEL,SHELL PLC,2:1,Trimestral,Energía
SHOP,SHOPIFY INC - CLASS A,107:1,Ninguna,Tecnología
SID,CIA SIDERURGICA NACL-SP ADR,1:8,Semestral,Industria
SIEGY,SIEMENS AG-SPONS ADR,3:1,Anual,Industria
SLB,SCHLUMBERGER LTD,3:1,Trimestral,Energía
SMSN,SAMSUNG ELECTR-GDR REG S,14:1,Trimestral,Electrónica
SNA,SNAP-ON INC,6:1,Trimestral,Industria
SNAP,SNAP INC - A,1:1,Ninguna,Tecnología
SNOW,SNOWFLAKE INC-CLASS A,30:1,Ninguna,Tecnología
SNPTY,CHINA PETROLEUM & CHEM-ADR,3:1,Semestral,Energía
SONY,SONY CORP-SPONSORED ADR,4:1,Semestral,Electrónica
SPGI,S&P GLOBAL INC,45:1,Trimestral,Servicios Financieros
SPOT,SPOTIFY TECHNOLOGY SA,28:1,Ninguna,Entretenimiento
SQ,BLOCK INC,20:1,Ninguna,Servicios Financieros
SUZ,SUZANO SA - SPON ADR,1:1,Irregular,Industria
SYY,SYSCO CORP,8:1,Trimestral,Distribución
T,AT&T INC,3:1,Trimestral,Telecomunicaciones
TCOM,TRIP.COM GROUP LTD-ADR,2:1,Anual,Viajes y Turismo
TEFO,TELEFONICA SA-SPON ADR,8:1,Semestral,Telecomunicaciones
TEN,TENARIS SA-ADR,1:1,Semestral,Industria
TGT,TARGET CORP,24:1,Trimestral,Comercio Minorista
TIIAY,TELECOM ITALIA SPA-SPON ADR,1:1,Anual,Telecomunicaciones
TM,TOYOTA MOTOR CORP -SPON ADR,5:1,Semestral,Automotriz
TMO,THERMO FISHER SCIENTIFIC INC,22:1,Trimestral,Salud
TRIP,TRIPADVISOR INC,2:1,Ninguna,Viajes y Turismo
TRV,TRAVELERS COS INC/THE,6:1,Trimestral,Servicios Financieros
TSLA,TESLA INC,15:1,Ninguna,Automotriz
TSM,TAIWAN SEMICONDUCTOR-SP ADR,9:1,Trimestral,Semiconductores
TSU,TIM SA-ADR,1:1,Anual,Telecomunicaciones
TTE,TOTALENERGIES SE - ADR,3:1,Trimestral,Energía
TTM,TATA MOTORS LTD-SPON ADR,1:1,Irregular,Automotriz
TV,GRUPO TELEVISA SA-SPON ADR,3:1,Anual,Medios de Comunicación
TWLO,TWILIO INC,36:1,Ninguna,Tecnología
TXN,TEXAS INSTRUMENTS INC,5:1,Trimestral,Semiconductores
TXR,TERNIUM SA-SPONSORED ADR,2:1,Anual,Industria
UGP,ULTRAPAR PARTICPAC-SPON ADR,1:1,Semestral,Servicios Públicos
UL,UNILEVER N V -NY SHARES,3:1,Trimestral,Consumo Básico
UNH,UNITEDHEALTH GROUP INC,33:1,Trimestral,Salud
UNP,UNION PACIFIC CORP,20:1,Trimestral,Transporte
URBN,URBAN OUTFITTERS INC,2:1,Ninguna,Consumo Discrecional
USB,US BANCORP,5:1,Trimestral,Servicios Financieros
V,VISA INC-CLASS A SHARES,18:1,Trimestral,Servicios Financieros
VALE,VALE SA-SP ADR,2:1,Semestral,Minas
VIST,VISTA ENERGY S.A.B. de C.V,1:1,Ninguna,Energía
VIV,TELEFONICA BRASIL-ADR,1:1,Semestral,Telecomunicaciones
VOD,VODAFONE GROUP PLC-SP ADR,1:1,Semestral,Telecomunicaciones
VRSN,VERISIGN INC,6:1,Ninguna,Tecnología
VZ,VERIZON COMMUNICATIONS INC,2:1,Trimestral,Telecomunicaciones
WBA,WALGREENS BOOTS ALLIANCE INC,3:1,Trimestral,Salud
WBO,WEIBO CORP-SPON ADR,6:1,Ninguna,Medios de Comunicación
WFC,WELLS FARGO & CO,5:1,Trimestral,Servicios Financieros
WMT,WALMART INC,6:1,Trimestral,Comercio Minorista
X,UNITED STATES STEEL CORP,3:1,Trimestral,Industria
XOM,EXXON MOBIL CORP,5:1,Trimestral,Energía
XP,XP INC,4:1,Ninguna,Servicios Financieros
XRX,XEROX HOLDINGS CORP,1:1,Trimestral,Electrónica
YELP,YELP INC,2:1,Ninguna,Servicios de Internet
YY,JOYY INC,5:1,Trimestral,Medios de Comunicación
YZCA,YANKUANG ENERGY GROUP CO. LTD.,2:1,Anual,Energía
ZM,ZOOM VIDEO COMMUNICATIONS-A,47:1,Ninguna,Tecnología
QQQ,NASDAQ-100 INDEX TRACKING STOCK,20:1,Diario,ETFs
SPY,SPDR S&P 500 ETF TRUST,20:1,Diario,ETFs
